User_ID,Start_node,End_node,Request_time
1,10,13,0
2,6,22,0
3,17,8,1
4,24,7,2
5,11,8,3
6,22,20,4
7,14,3,4
8,24,17,4
9,18,2,5
10,21,10,5
11,23,18,6
12,9,19,6
13,6,17,7
14,20,21,7
15,24,11,8
16,12,1,10
17,22,5,11
18,20,9,11
19,10,22,14
20,8,12,14
21,23,19,15
22,24,2,17
23,17,2,18
24,16,17,18
25,19,16,19
26,5,23,22
27,22,10,22
28,21,4,23
29,24,11,26
30,12,2,26
31,22,13,26
32,12,3,27
33,5,24,30
34,15,16,30
35,10,18,31
36,21,15,31
37,21,5,31
38,24,6,32
39,19,15,32
40,24,12,32
41,20,6,33
42,20,15,34
43,23,24,34
44,9,22,35
45,7,13,35
46,18,21,37
47,7,3,37
48,22,17,38
49,9,1,38
50,10,8,40
51,14,4,42
52,19,15,42
53,14,13,43
54,10,1,44
55,16,1,45
56,23,4,46
57,8,21,47
58,22,19,47
59,23,18,48
60,6,20,49
61,24,19,49
62,14,19,51
63,23,2,51
64,24,8,51
65,23,21,51
66,12,9,52
67,15,1,52
68,19,12,53
69,17,15,53
70,9,21,53
71,22,19,54
72,17,20,54
73,3,18,55
74,6,2,55
75,16,4,56
76,14,17,56
77,23,11,58
78,12,1,58
79,11,24,59
80,9,7,59
