Step,Total Reward,Loss,Matched Passengers,Canceled,Dropped Passengers,Waiting Passengers,Total Accounted Passengers,Rebalancing Count
1,0.0,0.0,0,0,0,1,1,0
2,0.5,0.0,1,0,0,1,2,0
3,0.5,0.0,1,0,0,2,3,0
4,1.0,0.0,2,0,0,2,4,0
5,1.6,0.00042288380791433156,3,0,0,2,5,0
6,2.2666666666666666,0.0,4,0,0,2,6,0
7,2.980952380952381,0.0,5,0,0,2,7,0
8,3.730952380952381,0.0,6,0,0,2,8,0
9,4.508730158730159,0.0,7,0,0,2,9,0
10,5.3087301587301585,0.0001796843862393871,8,0,0,2,10,0
11,6.126911976911977,0.0,9,0,0,2,11,0
12,6.126911976911977,0.0,9,1,0,2,12,0
13,6.896142746142746,0.0,10,1,0,2,13,0
14,7.681857031857032,0.0,11,2,0,1,14,0
15,7.681857031857032,0.00023590814089402556,11,2,0,2,15,0
16,8.431857031857032,0.0,12,2,0,2,16,0
17,8.431857031857032,0.0,12,2,0,3,17,0
18,9.154079254079253,0.0,13,2,0,3,18,0
19,9.89092135934241,0.0,14,2,0,3,19,0
20,10.64092135934241,0.01946987397968769,15,2,0,3,20,0
21,11.402826121247173,0.0,16,2,0,3,21,0
22,12.175553393974447,0.0,17,2,0,3,22,0
23,12.175553393974447,0.0,17,3,0,3,23,0
24,12.175553393974447,0.0,17,3,0,4,24,0
25,11.962220060641114,0.02793928049504757,18,3,1,4,25,0
26,12.692989291410344,0.0,19,4,0,3,26,0
27,13.433730032151084,0.0,20,4,0,3,27,0
28,13.433730032151084,0.0,20,5,0,3,28,0
29,14.916488652840739,0.0,22,5,0,2,29,0
30,15.683155319507406,0.002693573012948036,23,5,0,2,30,0
31,15.683155319507406,0.0,23,5,0,3,31,0
32,16.433155319507406,0.0,24,5,0,3,32,0
33,17.190731077083164,0.0,25,5,0,3,33,0
34,17.190731077083164,0.0,25,6,0,3,34,0
35,17.190731077083164,0.01047157496213913,25,6,0,4,35,0
36,17.190731077083164,0.0,25,7,0,4,36,0
37,17.190731077083164,0.0,25,7,0,5,37,0
38,17.190731077083164,0.0,25,7,0,6,38,0
39,17.857397743749832,0.0,26,7,0,6,39,0
40,17.857397743749832,0.003657786175608635,26,7,0,7,40,0
41,17.857397743749832,0.0,26,7,0,8,41,0
42,18.500254886606974,0.0,27,8,0,7,42,0
43,18.500254886606974,0.0,27,8,0,8,43,0
44,19.79570943206152,0.0,29,8,0,7,44,0
45,19.79570943206152,0.0012121926993131638,29,9,0,7,45,0
46,19.79570943206152,0.0,29,10,0,7,46,0
47,19.79570943206152,0.0,29,10,0,8,47,0
48,19.79570943206152,0.0,29,10,0,9,48,0
49,19.79570943206152,0.0,29,11,0,9,49,0
50,19.79570943206152,0.0010263127041980624,29,11,0,10,50,0
51,19.79570943206152,0.0,29,12,0,9,50,0
52,19.79570943206152,0.0,29,13,0,8,50,0
53,19.79570943206152,0.0,29,13,0,8,50,0
54,19.79570943206152,0.0,29,14,0,7,50,0
55,19.79570943206152,0.0003181181673426181,29,15,0,6,50,0
56,19.79570943206152,0.0,29,16,0,5,50,0
57,19.79570943206152,0.0,29,17,0,4,50,0
58,19.79570943206152,0.0,29,18,0,3,50,0
59,19.79570943206152,0.0,29,19,0,2,50,0
60,19.79570943206152,0.0013510347343981266,29,20,0,1,50,0
