Request ID,Status,Waiting Time,In-Vehicle Time,Detour Time,From Node,To Node
1,Served,5,27,20.0,10,13
2,Served,4,9,0.0,6,22
3,Served,4,14,11.0,17,8
4,Served,6,39,35.0,24,7
5,Served,5,10,4.0,11,8
6,Canceled,7,0,-2.0,22,20
7,Served,7,22,18.0,14,3
8,Served,7,38,32.0,24,17
9,Served,10,23,18.0,18,2
10,Served,5,6,1.0,21,10
11,Canceled,10,0,-4.0,23,18
12,Served,9,6,0.0,9,19
13,Served,10,6,0.0,6,17
14,Served,8,1,0.0,20,21
15,Served,14,5,0.0,24,11
16,Served,10,37,33.0,12,1
17,Canceled,10,0,-8.0,22,5
18,Served,11,5,0.0,20,9
19,Served,10,43,39.0,10,22
20,Canceled,10,0,-8.0,8,12
21,Served,10,5,0.0,23,19
22,Served,11,37,29.0,24,2
23,Served,7,5,0.0,17,2
24,Served,13,2,0.0,16,17
25,Canceled,10,0,-3.0,19,16
26,Served,13,9,0.0,5,23
27,Canceled,10,0,-3.0,22,10
28,Served,9,7,0.0,21,4
29,Served,7,7,2.0,24,11
30,Served,8,6,0.0,12,2
31,Canceled,14,0,-4.0,22,13
32,Served,9,41,39.0,12,3
33,Served,13,17,8.0,5,24
34,Canceled,10,0,-4.0,15,16
35,Canceled,16,0,-5.0,10,18
36,Canceled,10,0,-4.0,21,15
37,Canceled,10,0,-8.0,21,5
38,Served,12,20,13.0,24,6
39,Canceled,10,0,-3.0,19,15
40,Canceled,10,0,-3.0,24,12
41,Canceled,10,0,-5.0,20,6
42,Canceled,10,0,-5.0,20,15
43,Canceled,16,0,-2.0,23,24
44,Served,16,28,21.0,9,22
45,Served,13,6,0.0,7,13
46,Canceled,10,0,-2.0,18,21
47,Canceled,10,0,-8.0,7,3
48,Canceled,10,0,-4.0,22,17
49,Served,12,6,0.0,9,1
50,Served,8,14,10.0,10,8
52,Canceled,10,0,-3.0,19,15
53,Served,12,24,18.0,14,13
54,Canceled,10,0,-8.0,10,1
55,Canceled,16,0,-5.0,16,1
56,Canceled,10,0,-6.0,23,4
57,Served,16,22,17.0,8,21
58,Canceled,10,0,-4.0,22,19
59,Canceled,10,0,-4.0,23,18
60,Canceled,10,0,-6.0,6,20
61,Canceled,10,0,-5.0,24,19
62,Served,13,11,6.0,14,19
63,Canceled,10,0,-9.0,23,2
64,Canceled,10,0,-6.0,24,8
65,Canceled,10,0,-3.0,23,21
66,Canceled,10,0,-5.0,12,9
67,Canceled,10,0,-8.0,15,1
68,Canceled,10,0,-6.0,19,12
69,Canceled,10,0,-4.0,17,15
70,Served,10,9,2.0,9,21
71,Served,16,6,2.0,22,19
72,Served,13,3,0.0,17,20
73,Served,13,16,8.0,3,18
74,Canceled,10,0,-1.0,6,2
75,Served,16,6,0.0,16,4
76,Canceled,10,0,-4.0,14,17
77,Served,11,4,0.0,23,11
78,Canceled,10,0,-4.0,12,1
79,Canceled,10,0,-7.0,11,24
80,Canceled,10,0,-3.0,9,7
